"topic","price_taste","probability"
17,"P2_Irish",0.0235388034261796
17,"P2_American..New.",0.0224600315001402
18,"P3_Seafood",0.0621883315816543
18,"P3_Caribbean, P3_Cuban, P3_Latin.American",0.0514546389677766
18,"P3_American..New., P3_French",0.0487712158143071
18,"P3_Mexican",0.0425098951228784
18,"P3_Seafood",0.0369194302198171
18,"P2_British",0.0351304814508375
18,"P3_American..New., P3_French, P3_Greek, P3_Italian, P3_Modern.European, P3_Spanish",0.0333415326818578
18,"P2_Japanese, P2_Sushi.Bars",0.0311053467206333
19,"P2_American..New., P2_Sandwiches",0.034184845569322
19,"P2_American..New., P2_American..Traditional., P2_Sandwiches",0.0335957902177541
19,"P2_Barbeque",0.0322213277307624
19,"P2_Mexican",0.0312395688114827
19,"P2_American..New., P2_American..Traditional.",0.0286869956213552
19,"P2_American..Traditional.",0.0231891456733884
19,"P2_American..Traditional., P2_Barbeque, P2_Cajun.Creole",0.0226000903218206
19,"P1_Mexican",0.0216183314025408
20,"P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.117479090301545
20,"P1_Fast.Food, P1_Specialty.Food",0.0860892282144231
20,"P1_Sandwiches",0.0581421251949209
20,"P2_American..Traditional., P2_Sandwiches",0.0526742137345835
20,"P2_Salad, P2_Sandwiches",0.0494339699062354
20,"P1_Cajun.Creole",0.0320176593288645
20,"P2_American..New.",0.0222969278438202
20,"P2_Fruits...Veggies, P2_Specialty.Food",0.0222969278438202
21,"P2_American..New., P2_Barbeque",0.0397132384211912
21,"P2_Sandwiches",0.0314101136110492
21,"P2_Burgers",0.0285749002612447
21,"P2_American..Traditional., P2_Burgers, P2_Irish",0.0279673545434294
21,"P1_American..New., P1_Cheesesteaks, P1_Fast.Food, P1_Sandwiches",0.0261447173899836
21,"P2_Mexican, P2_Tex.Mex",0.021689382126005
21,"P2_Middle.Eastern",0.0174365621012981
21,"P1_Sandwiches",0.0170315316227546
22,"P2_American..New., P2_Burgers",0.0413448614816747
22,"P2_American..New., P2_Greek, P2_Seafood",0.0401412265040422
22,"P2_American..New.",0.0379345623783827
22,"P1_Italian, P1_Pizza, P1_Salad, P1_Sandwiches",0.0345242632750908
22,"P2_Sandwiches",0.0319163874902205
22,"P2_American..New., P2_Asian.Fusion, P2_Middle.Eastern",0.0222873076691609
22,"P2_American..New., P2_Salad, P2_Seafood, P2_Southern",0.0202812493731068
22,"P2_American..New., P2_Asian.Fusion",0.019880037713896
23,"P2_Italian, P2_Pizza, P2_Salad",0.0517748700932824
23,"P2_American..New., P2_Asian.Fusion, P2_Japanese, P2_Korean, P2_Noodles, P2_Ramen, P2_Tapas.Small.Plates, P2_Vietnamese",0.0478098457814228
23,"P2_Italian, P2_Pizza, P2_Salad",0.0436361359794653
23,"P2_American..New., P2_Pizza, P2_Sandwiches",0.0352887163755504
23,"P2_Italian",0.0296542081429078
23,"P2_Fruits...Veggies, P2_Noodles, P2_Salad, P2_Specialty.Food",0.02944552265281
23,"P2_Italian, P2_Pizza",0.0256891838310482
23,"P2_Sandwiches, P2_Seafood",0.0254804983409504
24,"P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.148496282569381
24,"P2_American..Traditional., P2_Cheesesteaks, P2_Fast.Food, P2_Italian, P2_Sandwiches",0.0899997767308937
24,"P2_American..Traditional., P2_Cheesesteaks, P2_Italian, P2_Pizza, P2_Sandwiches",0.0888834311996249
24,"P2_American..Traditional., P2_Sandwiches",0.0681194043180245
24,"P2_Cheesesteaks, P2_Sandwiches",0.0636540221929492
24,"P2_American..New., P2_American..Traditional., P2_Cheesesteaks, P2_Salad, P2_Sandwiches",0.0600817164928889
24,"P2_Cheesesteaks, P2_Sandwiches",0.0565094107928286
24,"P2_Cheesesteaks, P2_Sandwiches",0.0366384603362433
25,"P2_Japanese, P2_Sushi.Bars",0.0568043026420108
25,"P2_American..New.",0.0390194775975487
25,"P2_American..New., P2_American..Traditional., P2_Burgers, P2_Salad",0.0364481775911204
25,"P2_Thai",0.035376802588442
25,"P2_Asian.Fusion, P2_Japanese, P2_Sushi.Bars, P2_Tapas.Small.Plates",0.0345197025862993
25,"P1_Salad, P1_Sandwiches",0.0283057275707643
25,"P2_Mexican, P2_Specialty.Food",0.0248773275621933
25,"P1_Fast.Food, P1_Halal, P1_Indian",0.0246630525616576
26,"P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.102047237016562
26,"P2_Italian, P2_Pizza",0.099799995505517
26,"P3_American..New.",0.076878132092856
26,"P2_Mexican",0.0683386143508843
26,"P3_American..New., P3_French",0.0575518550978674
26,"P2_American..New., P2_Asian.Fusion, P2_Chinese, P2_Pan.Asian, P2_Tapas.Small.Plates, P2_Thai",0.0559787860401357
26,"P2_British",0.053057372075777
26,"P2_American..New., P2_American..Traditional.",0.0247421290366076
27,"P2_Asian.Fusion, P2_Japanese, P2_Korean",0.059943351509663
27,"P2_Seafood, P2_Vietnamese",0.0433727046763907
27,"P2_Korean",0.0408678394574077
27,"P2_Japanese, P2_Korean",0.0393263839380335
27,"P2_Vietnamese",0.0325825160407715
27,"P2_Barbeque, P2_Cantonese, P2_Chinese, P2_Dim.Sum, P2_Hong.Kong.Style.Cafe, P2_Noodles",0.0285361953024143
27,"P1_Vietnamese",0.0269947397830401
27,"P1_Pakistani, P1_Vietnamese",0.021214281585387
28,"P4_Ethnic.Food, P4_Israeli, P4_Middle.Eastern, P4_Specialty.Food",0.0894351809134647
28,"P2_Spanish",0.0813067070893473
28,"P2_Italian, P2_Pizza",0.0692238405940377
28,"P3_Spanish",0.0465959269755487
28,"P4_American..New., P4_American..Traditional., P4_Asian.Fusion, P4_Japanese, P4_Sushi.Bars",0.0450581076034184
28,"P3_American..New.",0.0384674531514313
28,"P3_American..New., P3_French",0.0285814714734506
28,"P2_Mexican",0.0248467672839913
29,"P2_Barbeque, P2_Buffets",0.0394277103445992
29,"P2_Mexican",0.0323072082664061
29,"P2_American..Traditional., P2_Cheesesteaks, P2_Sandwiches",0.0220404378280813
29,"P2_American..New., P2_Burgers, P2_Sandwiches",0.0212124724701518
29,"P2_American..New.",0.01806620411002
29,"P1_Burgers",0.0179006110384341
29,"P1_Cheesesteaks, P1_Sandwiches",0.0179006110384341
29,"P2_Thai",0.0160790872509894
30,"P3_Asian.Fusion, P3_Chinese",0.0694497840294896
30,"P2_American..New., P2_American..Traditional.",0.0509057192609512
30,"P2_Mexican",0.0468350708971257
30,"P4_American..New., P4_American..Traditional., P4_Asian.Fusion, P4_Japanese, P4_Sushi.Bars",0.0436690110585947
30,"P2_Asian.Fusion, P2_Sushi.Bars",0.0395983626947692
30,"P4_Brazilian, P4_Seafood",0.0375630385128565
30,"P2_Italian, P2_Seafood",0.0373368913815328
30,"P2_Cuban, P2_Latin.American",0.0337185372803546
31,"P2_American..New.",0.0512171678534299
31,"P2_American..Traditional., P2_Burgers, P2_Salad, P2_Sandwiches",0.0400360932933169
31,"P2_Mexican, P2_Tex.Mex",0.0327782027893839
31,"P2_Mexican",0.0316012475725299
31,"P2_Buffets, P2_Indian, P2_Pakistani",0.0286588595303949
31,"P1_Fast.Food, P1_Greek, P1_Salad",0.0251279938798329
31,"P1_Ethnic.Food, P1_Greek, P1_Middle.Eastern, P1_Salad, P1_Sandwiches, P1_Specialty.Food",0.0237548794601699
31,"P2_American..Traditional., P2_Irish",0.0229702426489339
32,"P2_American..New., P2_American..Traditional.",0.0555658799479651
32,"P2_American..New., P2_American..Traditional., P2_Barbeque, P2_Fast.Food",0.0359495343699023
32,"P2_German",0.0353300708253319
32,"P2_American..New., P2_Sandwiches, P2_Seafood",0.0330587044952404
32,"P2_German",0.0318197774060997
32,"P2_German",0.0295484110760082
32,"P2_Mexican, P2_Tacos",0.0287224596832476
32,"P2_American..New.",0.026244605504966
33,"P2_Cheesesteaks, P2_Sandwiches",0.0518521405327462
33,"P2_Chinese, P2_Noodles, P2_Szechuan, P2_Taiwanese",0.0345096358074008
33,"P2_Mexican, P2_Tacos",0.0261306728502114
33,"P2_Mexican, P2_Tex.Mex",0.0253512344355892
33,"P2_Comfort.Food, P2_Specialty.Food",0.0222334807771001
33,"P2_Mexican, P2_Tacos",0.0206746039478556
33,"P2_American..Traditional., P2_Salad",0.019115727118611
33,"P1_American..New., P1_American..Traditional.",0.0189208675149555
33,"P2_Asian.Fusion, P2_French, P2_Thai",0.0189208675149555
34,"P3_Chinese, P3_Italian, P3_Pizza, P3_Szechuan, P3_Tapas.Small.Plates",0.0357488304151286
34,"P2_American..New., P2_Sandwiches",0.0355514321245978
34,"P3_American..New., P3_Lebanese, P3_Middle.Eastern, P3_Specialty.Food",0.0345644406719438
34,"P2_American..New.",0.0335774492192898
34,"P2_Fast.Food",0.027260703922304
34,"P2_Italian, P2_Pizza, P2_Specialty.Food",0.0270633056317732
34,"P2_American..Traditional., P2_Comfort.Food, P2_Sandwiches, P2_Soul.Food",0.0256815175980576
34,"P2_Asian.Fusion, P2_Japanese, P2_Noodles",0.0207465603347875
35,"P2_Burgers",0.0542278818645271
35,"P1_Pizza",0.047989847060595
35,"P2_Chinese, P2_Kosher",0.0344382542106735
35,"P1_Cheesesteaks, P1_Sandwiches",0.0325023123749704
35,"P2_Chinese, P2_Kosher, P2_Specialty.Food, P2_Ukrainian",0.0258340682742154
35,"P2_Indian",0.0228226031964551
35,"P2_American..New., P2_Burgers, P2_Sandwiches",0.0204564520639291
35,"P3_Specialty.Food",0.0202413474155176
36,"P3_Seafood",0.0532765881592727
36,"P2_Chinese, P2_Noodles, P2_Szechuan",0.0497114463334745
36,"P1_Sandwiches, P1_Soul.Food",0.0479288754205753
36,"P2_American..Traditional., P2_Burgers, P2_Fast.Food, P2_Hot.Dogs",0.0470375899641258
36,"P2_Sandwiches, P2_Seafood",0.0459234831435638
36,"P2_American..New., P2_Burgers",0.0443637335947771
36,"P2_British",0.0325542012968204
36,"P2_Belgian",0.0267608458298982
37,"P2_Chinese, P2_Ethnic.Food, P2_Fast.Food, P2_Fruits...Veggies, P2_Seafood, P2_Specialty.Food",0.12328829547267
37,"P2_Mexican",0.0633643965458315
37,"P2_American..New.",0.0563011232882955
37,"P3_American..New., P3_French",0.0521998678484358
37,"P2_Belgian",0.0506049351773793
37,"P2_British",0.0499213926040694
37,"P2_Asian.Fusion, P2_Chinese, P2_Dim.Sum, P2_Shanghainese",0.04240242429766
37,"P2_Italian, P2_Pizza",0.0316935906491376
38,"P2_Cheesesteaks, P2_Sandwiches",0.0441718041058821
38,"P2_Italian, P2_Pizza",0.0358298235976317
38,"P2_American..New., P2_Pizza",0.0311501759954424
