"topic","price_taste","Probability","taste","price_level"
12,"P2_American..New., P2_Italian, P2_Modern.European, P2_Pizza, P2_Sandwiches, P2_Specialty.Food",0.0174425776527768,"American..New., Italian, Modern.European, Pizza, Sandwiches, Specialty.Food","2"
13,"P2_Barbeque, P2_Buffets",0.0255650515282549,"Barbeque, Buffets","2"
13,"P2_Mexican",0.0180649820831674,"Mexican","2"
13,"P2_American..New., P2_Burgers, P2_Sandwiches",0.0156575523847443,"American..New., Burgers, Sandwiches","2"
13,"P2_American..New., P2_Caribbean, P2_Cuban, P2_Latin.American",0.0151019916851082,"American..New., Caribbean, Cuban, Latin.American","2"
13,"P2_American..Traditional., P2_Cheesesteaks, P2_Sandwiches",0.0136204964860786,"American..Traditional., Cheesesteaks, Sandwiches","2"
13,"P1_Cheesesteaks, P1_Sandwiches",0.0125093750868064,"Cheesesteaks, Sandwiches","1"
13,"P1_Burgers",0.0120464078371096,"Burgers","1"
13,"P2_American..New.",0.0102871322882619,"American..New.","2"
14,"P3_Asian.Fusion, P3_Chinese",0.0456771544637653,"Asian.Fusion, Chinese","3"
14,"P4_Brazilian, P4_Seafood",0.0423716281456867,"Brazilian, Seafood","4"
14,"P4_American..New., P4_American..Traditional., P4_Asian.Fusion, P4_Japanese, P4_Sushi.Bars",0.0391530893622944,"American..New., American..Traditional., Asian.Fusion, Japanese, Sushi.Bars","4"
14,"P2_American..New., P2_American..Traditional.",0.0357605755095295,"American..New., American..Traditional.","2"
14,"P2_Mexican",0.0356735879748432,"Mexican","2"
14,"P4_American..Traditional.",0.0354126253707844,"American..Traditional.","4"
14,"P3_Seafood",0.0313242112405292,"Seafood","3"
14,"P2_American..New., P2_American..Traditional., P2_Specialty.Food",0.0308892735670978,"American..New., American..Traditional., Specialty.Food","2"
15,"P2_Chinese, P2_Szechuan",0.0266543911256821,"Chinese, Szechuan","2"
15,"P2_American..New., P2_American..Traditional., P2_Comfort.Food",0.0234358041602108,"American..New., American..Traditional., Comfort.Food","2"
15,"P1_Mexican, P1_Tacos, P1_Tex.Mex",0.0226872955635896,"Mexican, Tacos, Tex.Mex","1"
